GC Name,Address,City,State,Zip,Phone,Email,Website
1757 Golf Club,45120 Waxpool Road, Dulles, VA,20166,+1 703.444.0901,[],"[<a href=""http://www.1757golfclub.com"" target=""_blank"">http://www.1757golfclub.com</a>]"
3 Creek Ranch,2800 Ranch House Cir, Jackson Hole, WY,83001,(800) 920-9292,"[<a href=""mailto:mconnaughton@3creekranch-jh.com"">mconnaughton@3creekranch-jh.com</a>]","[<a href=""http://www.3creekranch-jh.com"" target=""_blank"">http://www.3creekranch-jh.com</a>]"
3 Lakes Golf Course,6700 Saltsburg Rd, Pittsburgh, PA,15235,412-793-7111,"[<a href=""mailto:golfshop@3lakesgolf.com"">golfshop@3lakesgolf.com</a>]","[<a href=""http://www.3lakesgolf.com/"" target=""_blank"">http://www.3lakesgolf.com/</a>]"
3 Lakes Golf Course,6700 Saltsburg Rd, Pittsburgh, PA,15235,412-793-7111,"[<a href=""mailto:golfshop@3lakesgolf.com"">golfshop@3lakesgolf.com</a>]","[<a href=""http://www.3lakesgolf.com/"" target=""_blank"">http://www.3lakesgolf.com/</a>]"
3/30 Club,101 Country Club Ln, Lowden, IA,52255,(319) 944-7695,"[<a href=""mailto:katimmer22@hotmail.com"">katimmer22@hotmail.com</a>]","[<a href=""http://www.330golfandcountryclub.com"" target=""_blank"">http://www.330golfandcountryclub.com</a>]"
401 Par,5715 Fayetteville Road, Raleigh, NC,27603,9197725261,[],"[<a href=""http://www.401pargolf.com"" target=""_blank"">http://www.401pargolf.com</a>]"
A Ga Ming Golf Resort,12352 Antrim Dr, Ellsworth, MI,49729,(231) 599-2679,"[<a href=""mailto:reservations@a-ga-ming.com"">reservations@a-ga-ming.com</a>]","[<a href=""http://www.a-ga-ming.com/"" target=""_blank"">http://www.a-ga-ming.com/</a>]"
A Ga Ming Golf Resort,12352 Antrim Dr, Ellsworth, MI,49729,(231) 599-2679,"[<a href=""mailto:reservations@a-ga-ming.com"">reservations@a-ga-ming.com</a>]","[<a href=""http://www.a-ga-ming.com/"" target=""_blank"">http://www.a-ga-ming.com/</a>]"
A Ga Ming Golf Resort,12352 Antrim Dr, Ellsworth, MI,49729,(231) 599-2679,"[<a href=""mailto:reservations@a-ga-ming.com"">reservations@a-ga-ming.com</a>]","[<a href=""http://www.a-ga-ming.com/"" target=""_blank"">http://www.a-ga-ming.com/</a>]"
A H Blank Golf Course,808 County Line Rd, Des Moines, IA,50320,(515) 285-0864,"[<a href=""mailto:jeffchiodo@blankgolfcourse.com"">jeffchiodo@blankgolfcourse.com</a>]","[<a href=""http://www.blankgolfcourse.com"" target=""_blank"">http://www.blankgolfcourse.com</a>]"
A L Gustin Golf Course,Stadium Blvd, Columbia, MO,65211,(573) 882-6016,"[<a href=""mailto:knoeseljr@missouri.edu"">knoeseljr@missouri.edu</a>]","[<a href=""http://www.gustingolfclurse.com"" target=""_blank"">http://www.gustingolfclurse.com</a>]"
A-Ga-Ming Golf Resort,627 Ag A Ming Drive, Kewadin, MI,49648,231.264.5081,"[<a href=""mailto:info@a-ga-ming.com"">info@a-ga-ming.com</a>]","[<a href=""http://www.a-ga-ming.com/"" target=""_blank"">http://www.a-ga-ming.com/</a>]"
A-Ga-Ming Golf Resort,627 Ag A Ming Drive, Kewadin, MI,49648,231.264.5081,"[<a href=""mailto:info@a-ga-ming.com"">info@a-ga-ming.com</a>]","[<a href=""http://www.a-ga-ming.com/"" target=""_blank"">http://www.a-ga-ming.com/</a>]"
A. C. Read Golf Club,NAS Pensacola Bldg 3495, Pensacola, FL,32508,(850) 452-2455,[],"[<a href=""http://www.naspensacola-mwr.com/leisure/acread.htm"" target=""_blank"">http://www.naspensacola-mwr.com/leisure/acread.htm</a>]"
A. C. Read Golf Club,NAS Pensacola Bldg 3495, Pensacola, FL,32508,(850) 452-2455,[],"[<a href=""http://www.naspensacola-mwr.com/leisure/acread.htm"" target=""_blank"">http://www.naspensacola-mwr.com/leisure/acread.htm</a>]"
A. C. Read Golf Club,NAS Pensacola Bldg 3495, Pensacola, FL,32508,(850) 452-2455,[],"[<a href=""http://www.naspensacola-mwr.com/leisure/acread.htm"" target=""_blank"">http://www.naspensacola-mwr.com/leisure/acread.htm</a>]"
A. C. Read Golf Club,NAS Pensacola Bldg 3495, Pensacola, FL,32508,(850) 452-2455,[],"[<a href=""http://www.naspensacola-mwr.com/leisure/acread.htm"" target=""_blank"">http://www.naspensacola-mwr.com/leisure/acread.htm</a>]"
A. C. Read Golf Club,NAS Pensacola Bldg 3495, Pensacola, FL,32508,(850) 452-2455,[],"[<a href=""http://www.naspensacola-mwr.com/leisure/acread.htm"" target=""_blank"">http://www.naspensacola-mwr.com/leisure/acread.htm</a>]"
A. J. Jolly Golf Course,11541 Alexandria Pike, Alexandria, KY,41001,(606) 635-2106,"[<a href=""mailto:tjpro63@yahoo.com"">tjpro63@yahoo.com</a>]","[<a href=""http://www.ajjollygolf.com/index.htm"" target=""_blank"">http://www.ajjollygolf.com/index.htm</a>]"
A.H. Blank Golf Course,808 County Line Road, Des Moines, IA,50315,515-285-0864,[],[]
A1 Golf Center,1805 E Highway 30, Rockwall, TX,75087,972-771-3996,[],[]
Abacoa Golf Club,105 Barbados Drive, Jupiter, FL,33458,(561) 622-0036,"[<a href=""mailto:kris@abacoagolfclub.com"">kris@abacoagolfclub.com</a>]","[<a href=""http://www.abacoagolfclub.com/"" target=""_blank"">http://www.abacoagolfclub.com/</a>]"
